Date,Portfolio_Value
2022-08-10,188504.47972591
2022-08-11,188954.55389731383
2022-08-12,189494.09903230664
2022-08-15,189854.31314473442
2022-08-16,193665.42612681052
2022-08-17,193483.02415113276
2022-08-18,193790.738443658
2022-08-19,190206.74219602378
2022-08-22,190815.8045631749
2022-08-23,190760.1893691435
2022-08-24,191909.8184510191
2022-08-25,191791.0919505278
2022-08-26,198472.52370158967
2022-08-29,198472.52370158967
2022-08-30,198472.52370158967
2022-08-31,198472.52370158967
2022-09-01,198472.52370158967
2022-09-02,198472.52370158967
2022-09-06,195567.9048282978
2022-09-07,195553.52714393585
2022-09-08,193731.80825682238
2022-09-09,192783.67020306003
2022-09-12,191223.85720311804
2022-09-13,191590.7314727121
2022-09-14,187248.5281714278
2022-09-15,188675.72997650085
2022-09-16,194565.2425730399
2022-09-19,194006.53990971838
2022-09-20,191828.69301884252
2022-09-21,195896.09924522517
2022-09-22,202162.93146765063
2022-09-23,201944.0429904335
2022-09-26,203478.17434605758
2022-09-27,200926.63269456493
2022-09-28,198476.80238791695
2022-09-29,198513.9371744361
2022-09-30,197550.99370524904
2022-10-03,199079.75438804526
2022-10-04,193553.52264255506
2022-10-05,196209.2305521481
2022-10-06,196190.606679547
2022-10-07,194896.5072881283
2022-10-10,196858.8066429425
2022-10-11,198014.3964231182
2022-10-12,196821.15186305478
2022-10-13,202775.9660744161
2022-10-14,203428.3830885004
2022-10-17,198746.5198613935
2022-10-18,197700.80950799116
2022-10-19,198207.431272698
2022-10-20,200204.9622191756
2022-10-21,199218.80603962712
2022-10-24,201869.98921413274
2022-10-25,199197.83364048565
2022-10-26,204509.569310088
2022-10-27,204509.56931008803
2022-10-28,204509.56931008803
2022-10-31,204509.56931008803
2022-11-01,204509.56931008803
2022-11-02,204509.56931008803
2022-11-03,204509.56931008803
2022-11-04,204509.56931008803
2022-11-07,204509.56931008803
2022-11-08,204509.56931008803
2022-11-09,204509.56931008803
2022-11-10,204509.56931008803
2022-11-11,204509.56931008803
2022-11-14,204509.56931008803
2022-11-15,204509.56931008803
2022-11-16,204509.56931008803
2022-11-17,204509.56931008803
2022-11-18,204509.56931008803
2022-11-21,204509.56931008803
2022-11-22,204509.56931008803
2022-11-23,204509.56931008803
2022-11-25,204509.56931008803
2022-11-28,204509.56931008803
2022-11-29,204509.56931008803
2022-11-30,204509.56931008803
2022-12-01,204509.56931008803
2022-12-02,204509.56931008803
2022-12-05,204509.56931008803
2022-12-06,204509.56931008803
2022-12-07,204509.56931008803
2022-12-08,204509.56931008803
2022-12-09,204509.56931008803
2022-12-12,204509.56931008803
2022-12-13,204509.56931008803
2022-12-14,204509.56931008803
2022-12-15,204509.56931008803
2022-12-16,204509.56931008803
2022-12-19,204509.56931008803
2022-12-20,204509.56931008803
2022-12-21,204509.56931008803
2022-12-22,204509.56931008803
2022-12-23,204509.56931008803
2022-12-27,204509.56931008803
2022-12-28,204509.56931008803
2022-12-29,204509.56931008803
2022-12-30,204509.56931008803
2023-01-03,204509.56931008803
2023-01-04,204509.56931008803
2023-01-05,204509.56931008803
2023-01-06,204509.56931008803
2023-01-09,204509.56931008803
2023-01-10,204509.56931008803
2023-01-11,204509.56931008803
2023-01-12,204509.56931008803
2023-01-13,204509.56931008803
2023-01-17,204509.56931008803
2023-01-18,204509.56931008803
2023-01-19,197760.6338814434
2023-01-20,195445.7461607913
2023-01-23,192725.7014295219
2023-01-24,186929.2894104148
2023-01-25,183954.66044846806
2023-01-26,184185.66898166604
2023-01-27,186143.2497383568
2023-01-30,184529.42550345752
2023-01-31,187852.3953710496
2023-02-01,184958.1337945442
2023-02-02,185153.68486279284
2023-02-03,185528.4355455952
2023-02-06,184339.48692066842
2023-02-07,183560.27674556675
2023-02-08,183219.44115508604
2023-02-09,182704.4137308684
2023-02-10,193409.19466661575
2023-02-13,190923.12278397233
2023-02-14,186487.78031308576
2023-02-15,185976.63765979244
2023-02-16,189248.91890953248
2023-02-17,192614.5639596274
2023-02-21,190373.32556725066
2023-02-22,190170.72605909585
2023-02-23,191188.9035751804
2023-02-24,192811.57610152016
2023-02-27,190717.62260729144
2023-02-28,188173.4009979833
2023-03-01,193024.52026597236
2023-03-02,193136.96633806184
2023-03-03,192483.36010860058
2023-03-06,190435.36539839383
2023-03-07,189062.03429145383
2023-03-08,189396.7887015798
2023-03-09,194342.5302447232
2023-03-10,195581.1692927584
2023-03-13,198347.3275930071
2023-03-14,198625.60133891064
2023-03-15,200958.7499043142
2023-03-16,198828.4793442418
2023-03-17,199497.62479024858
2023-03-20,199464.1724369794
2023-03-21,197291.35945825934
2023-03-22,198031.81648741063
2023-03-23,198550.63304532768
2023-03-24,200745.99196495255
2023-03-27,200854.36310504738
2023-03-28,200854.36310504738
2023-03-29,200854.36310504738
2023-03-30,200854.36310504738
2023-03-31,200854.36310504738
2023-04-03,200854.36310504738
2023-04-04,200854.36310504738
2023-04-05,200854.36310504738
2023-04-06,200854.36310504738
2023-04-10,200854.36310504738
2023-04-11,200854.36310504738
2023-04-12,200854.36310504738
2023-04-13,200854.36310504738
2023-04-14,200854.36310504738
2023-04-17,200854.36310504738
2023-04-18,200854.36310504738
2023-04-19,200854.36310504738
2023-04-20,200854.36310504738
2023-04-21,200854.36310504738
2023-04-24,200854.36310504738
2023-04-25,200854.36310504738
2023-04-26,200854.36310504738
2023-04-27,200854.36310504738
2023-04-28,200854.36310504738
2023-05-01,200854.36310504738
2023-05-02,200854.36310504738
2023-05-03,200854.36310504738
2023-05-04,200854.36310504738
2023-05-05,200854.36310504738
2023-05-08,200854.36310504738
2023-05-09,200854.36310504738
2023-05-10,200854.36310504738
2023-05-11,200854.36310504738
2023-05-12,200854.36310504738
2023-05-15,200854.36310504738
2023-05-16,200854.36310504738
2023-05-17,200854.36310504738
2023-05-18,200854.36310504738
2023-05-19,200854.36310504738
2023-05-22,200854.36310504738
2023-05-23,200854.36310504738
2023-05-24,200854.36310504738
2023-05-25,200854.36310504738
2023-05-26,200153.4190675341
2023-05-30,198550.8467982342
2023-05-31,197068.081385443
2023-06-01,194979.01846946136
2023-06-02,198682.94502900616
2023-06-05,190168.89471223624
2023-06-06,185153.2718123797
2023-06-07,190997.9704351661
2023-06-08,192238.3443654825
2023-06-09,188402.4054084416
2023-06-12,189463.73811616265
2023-06-13,190837.99953977103
2023-06-14,192148.77550117736
2023-06-15,195981.58827113966
2023-06-16,198037.0245735637
2023-06-20,194618.25875469603
2023-06-21,195761.83176209388
2023-06-22,192253.33321258868
2023-06-23,195216.39564701027
2023-06-26,195556.08440565746
2023-06-27,189211.02309911867
2023-06-28,189280.18521207682
2023-06-29,190487.219141524
2023-06-30,189741.78571815012
2023-07-03,187263.72152590466
2023-07-05,185976.89470691798
2023-07-06,186239.1010092959
2023-07-07,184233.80719876738
2023-07-10,181561.7110979604
2023-07-11,183698.9961005358
2023-07-12,184301.3477520104
2023-07-13,181840.98872445297
2023-07-14,182404.28333784683
2023-07-17,179088.9887845526
2023-07-18,180591.3452692386
2023-07-19,183069.68405430188
2023-07-20,184149.00050471368
2023-07-21,184054.0959473559
2023-07-24,186267.05552200982
2023-07-25,191391.47755883477
2023-07-26,192066.1722659844
2023-07-27,192066.1722659844
2023-07-28,192066.1722659844
2023-07-31,192066.1722659844
2023-08-01,192066.1722659844
2023-08-02,192066.1722659844
2023-08-03,192066.1722659844
2023-08-04,197970.5359156158
2023-08-07,202406.46174933796
2023-08-08,205688.1089799151
2023-08-09,206026.23637902833
2023-08-10,207666.3182241951
2023-08-11,207666.3182241951
2023-08-14,207666.3182241951
2023-08-15,207666.3182241951
2023-08-16,207666.3182241951
2023-08-17,207666.3182241951
2023-08-18,207666.3182241951
2023-08-21,207666.3182241951
2023-08-22,207666.3182241951
2023-08-23,207666.3182241951
2023-08-24,207666.3182241951
2023-08-25,207666.3182241951
2023-08-28,207666.3182241951
2023-08-29,207666.3182241951
2023-08-30,207666.3182241951
2023-08-31,207666.3182241951
2023-09-01,207666.3182241951
2023-09-05,207666.3182241951
2023-09-06,207666.3182241951
2023-09-07,207666.3182241951
2023-09-08,207666.3182241951
2023-09-11,207666.3182241951
2023-09-12,207666.3182241951
2023-09-13,207666.3182241951
2023-09-14,207666.3182241951
2023-09-15,207666.3182241951
2023-09-18,207666.3182241951
2023-09-19,207666.3182241951
2023-09-20,207666.3182241951
2023-09-21,207666.3182241951
2023-09-22,207666.3182241951
2023-09-25,207666.3182241951
2023-09-26,207666.3182241951
2023-09-27,207666.3182241951
2023-09-28,207666.3182241951
2023-09-29,207666.3182241951
2023-10-02,207666.3182241951
2023-10-03,207666.3182241951
2023-10-04,207666.3182241951
2023-10-05,207666.3182241951
2023-10-06,207666.3182241951
2023-10-09,207666.3182241951
2023-10-10,207666.3182241951
2023-10-11,207666.3182241951
2023-10-12,207666.3182241951
2023-10-13,207666.3182241951
2023-10-16,207666.3182241951
2023-10-17,207666.3182241951
2023-10-18,207666.3182241951
2023-10-19,207666.3182241951
2023-10-20,207666.3182241951
2023-10-23,207666.3182241951
2023-10-24,207666.3182241951
2023-10-25,207666.3182241951
2023-10-26,207666.3182241951
2023-10-27,207666.3182241951
2023-10-30,207666.3182241951
2023-10-31,207666.3182241951
2023-11-01,207666.3182241951
